name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,enrollment
Defiance College,Ohio,OH,Private,4 Year,10220.0,32730,42950,32730,42950,,,,,,,1541.0
Del Mar College,Texas,TX,Public,2 Year,,3170,3170,5780,5780,,,,,,,23776.0
Delaware College of Art and Design,Delaware,DE,Private,2 Year,12450.0,25395,37845,25395,37845,,,,,,,387.0
Delaware County Community College,Pennsylvania,PA,Public,2 Year,,5960,5960,13400,13400,,,,,,,
Delaware State University,Delaware,DE,Public,4 Year,12190.0,7868,20058,16904,29094,3.0,Delaware,46300.0,81900.0,62.0,10.0,10523.0
Delaware Technical Community College: Jack F. Owens Campus,Delaware,DE,Public,2 Year,,4855,4855,11583,11583,,,,,,,
Delaware Technical Community College: Stanton/Wilmington Campus,Delaware,DE,Public,2 Year,,4855,4855,11583,11583,,,,,,,
Delaware Technical Community College: Terry Campus,Delaware,DE,Public,2 Year,,4855,4855,11583,11583,,,,,,,
Delaware Valley University,Pennsylvania,PA,Private,4 Year,14340.0,39440,53780,39440,53780,,,,,,,
Delgado Community College,Louisiana,LA,Public,2 Year,,4079,4079,5154,5154,,,,,,,38873.0
Delta College,Michigan,MI,Public,2 Year,,3400,3400,10870,10870,,,,,,,17030.0
Delta State University,Mississippi,MS,Public,4 Year,7722.0,7246,14968,7246,14968,8.0,Mississippi,40800.0,74200.0,63.0,5.0,7284.0
Denison University,Ohio,OH,Private,4 Year,12710.0,51960,64670,51960,64670,5.0,Ohio,54400.0,104800.0,45.0,22.0,4145.0
Denmark Technical College,South Carolina,SC,Public,2 Year,4024.0,5400,9424,9150,13174,,,,,,,4321.0
DePaul University,Illinois,IL,Private,4 Year,14235.0,39975,54210,39975,54210,8.0,Illinois,55700.0,102900.0,43.0,15.0,44588.0
DePauw University,Indiana,IN,Private,4 Year,13020.0,49704,62724,49704,62724,5.0,Indiana,56600.0,101000.0,47.0,24.0,3843.0
Des Moines Area Community College,Iowa,IA,Public,2 Year,7302.0,4710,12012,9420,16722,,,,,,,40459.0
DeSales University,Pennsylvania,PA,Private,4 Year,12800.0,37600,50400,37600,50400,,,,,,,5639.0
Design Institute of San Diego,California,CA,For Profit,4 Year,,23860,23860,23860,23860,,,,,,,378.0
Diablo Valley College,California,CA,Public,2 Year,,1390,1390,9160,9160,,,,,,,40894.0
Dickinson College,Pennsylvania,PA,Private,4 Year,13698.0,54661,68359,54661,68359,21.0,Pennsylvania,55800.0,100100.0,46.0,25.0,4113.0
Dickinson State University,North Dakota,ND,Public,4 Year,6898.0,6765,13663,9544,16442,5.0,North-Dakota,46400.0,81200.0,55.0,8.0,2558.0
DigiPen Institute of Technology,Washington,WA,For Profit,4 Year,,30350,30350,30350,30350,,,,,,,1394.0
Dillard University,Louisiana,LA,Private,4 Year,10100.0,18099,28199,18099,28199,17.0,Louisiana,44700.0,79800.0,74.0,20.0,3194.0
Dine College,Arizona,AZ,Public,2 Year,4610.0,1410,6020,1410,6020,,,,,,,3946.0
Divine Word College,Iowa,IA,Private,4 Year,3700.0,13485,17185,13485,17185,,,,,,,174.0
Dixie State University,Utah,UT,Public,4 Year,6328.0,5253,11581,15051,21379,,,,,,,
Doane University,Nebraska,NE,Private,4 Year,9400.0,33800,43200,33800,43200,,,,,,,
Dodge City Community College,Kansas,KS,Public,2 Year,6650.0,2840,9490,3680,10330,,,,,,,3547.0
Dominican College of Blauvelt,New York,NY,Private,4 Year,13150.0,29000,42150,29000,42150,,,,,,,4187.0
Dominican University,Illinois,IL,Private,4 Year,10241.0,33434,43675,33434,43675,,,,,,,7551.0
Dominican University of California,California,CA,Private,4 Year,14810.0,45850,60660,45850,60660,,,,,,,4365.0
Dona Ana Community College of New Mexico State University,New Mexico,NM,Public,2 Year,,1776,1776,5664,5664,,,,,,,
Donnelly College,Kansas,KS,Private,2 Year,,9000,9000,9000,9000,,,,,,,1182.0
Dordt College,Iowa,IA,Private,4 Year,9590.0,30870,40460,30870,40460,8.0,Iowa,51000.0,89600.0,57.0,17.0,2284.0
Drake University,Iowa,IA,Private,4 Year,10528.0,41396,51924,41396,51924,2.0,Iowa,52800.0,99900.0,49.0,7.0,8649.0
Drew University,New Jersey,NJ,Private,4 Year,14108.0,39500,53608,39500,53608,16.0,New-Jersey,52800.0,95000.0,37.0,16.0,3976.0
Drexel University,Pennsylvania,PA,Private,4 Year,14079.0,53279,67358,53279,67358,9.0,Pennsylvania,61700.0,114800.0,47.0,28.0,47593.0
Drury University,Missouri,MO,Private,4 Year,8096.0,28365,36461,28365,36461,19.0,Missouri,42600.0,79400.0,60.0,12.0,7308.0
Duke University,North Carolina,NC,Private,4 Year,15178.0,55695,70873,55695,70873,1.0,North-Carolina,71100.0,132100.0,50.0,26.0,28423.0
Duquesne University,Pennsylvania,PA,Private,4 Year,12586.0,38178,50764,38178,50764,,,,,,,16620.0
Durham Technical Community College,North Carolina,NC,Public,2 Year,,2372,2372,8132,8132,,,,,,,11221.0
Dutchess Community College,New York,NY,Public,2 Year,11518.0,4404,15922,8268,19786,,,,,,,18630.0
Dyersburg State Community College,Tennessee,TN,Public,2 Year,,4235,4235,16523,16523,,,,,,,5374.0
Earlham College,Indiana,IN,Private,4 Year,10400.0,46450,56850,46450,56850,13.0,Indiana,49100.0,88400.0,57.0,31.0,
East Arkansas Community College,Arkansas,AR,Public,2 Year,,2880,2880,3720,3720,,,,,,,2605.0
East Carolina University,North Carolina,NC,Public,4 Year,9606.0,7188,16794,23465,33071,11.0,North-Carolina,48400.0,85400.0,55.0,11.0,51596.0
East Central College,Missouri,MO,Public,2 Year,,3240,3240,6120,6120,,,,,,,5939.0
East Central Community College,Mississippi,MS,Public,2 Year,3830.0,2870,6700,4970,8800,,,,,,,5155.0
East Central University,Oklahoma,OK,Public,4 Year,5514.0,6810,12324,17700,23214,17.0,Oklahoma,44700.0,77500.0,66.0,9.0,
East Georgia State College,Georgia,GA,Public,2 Year,9084.0,3666,12750,11412,20496,,,,,,,6078.0
East Los Angeles College,California,CA,Public,2 Year,,1404,1404,8934,8934,,,,,,,83145.0
East Mississippi Community College,Mississippi,MS,Public,2 Year,4800.0,3440,8240,6440,11240,,,,,,,8579.0
East Stroudsburg University of Pennsylvania,Pennsylvania,PA,Public,4 Year,9700.0,11084,20784,23516,33216,,,,,,,12339.0
East Tennessee State University,Tennessee,TN,Public,4 Year,8472.0,9277,17749,28459,36931,22.0,Tennessee,43700.0,77300.0,57.0,8.0,24573.0
East Texas Baptist University,Texas,TX,Private,4 Year,9079.0,26370,35449,26370,35449,,,,,,,2446.0
East-West University,Illinois,IL,Private,4 Year,,20970,20970,20970,20970,,,,,,,1399.0
Eastern Arizona College,Arizona,AZ,Public,2 Year,6790.0,2700,9490,8700,15490,,,,,,,11876.0
Eastern Connecticut State University,Connecticut,CT,Public,4 Year,13560.0,11356,24916,22596,36156,17.0,Connecticut,49200.0,87800.0,43.0,14.0,9223.0
Eastern Florida State College,Florida,FL,Public,2 Year,,3140,3140,12193,12193,,,,,,,
Eastern Gateway Community College,Ohio,OH,Public,2 Year,,4040,4040,7280,7280,,,,,,,6244.0
Eastern Illinois University,Illinois,IL,Public,4 Year,9882.0,11803,21685,14023,23905,,,,,,,16512.0
Eastern International College,New Jersey,NJ,For Profit,2 Year,,9000,9000,9000,9000,,,,,,,
Eastern Kentucky University,Kentucky,KY,Public,4 Year,9018.0,9296,18314,19074,28092,11.0,Kentucky,45600.0,80700.0,56.0,5.0,27545.0
Eastern Maine Community College,Maine,ME,Public,2 Year,8930.0,3816,12746,6636,15566,,,,,,,4118.0
Eastern Mennonite University,Virginia,VA,Private,4 Year,11160.0,37100,48260,37100,48260,,,,,,,3107.0
Eastern Michigan University,Michigan,MI,Public,4 Year,9854.0,13959,23813,13959,23813,18.0,Michigan,47300.0,86700.0,50.0,6.0,41988.0
Eastern Nazarene College,Massachusetts,MA,Private,4 Year,9624.0,25598,35222,25598,35222,,,,,,,2518.0
Eastern New Mexico University,New Mexico,NM,Public,4 Year,7162.0,6206,13368,8128,15290,,,,,,,11943.0
Eastern New Mexico University: Roswell,New Mexico,NM,Public,2 Year,,2256,2256,5616,5616,,,,,,,
Eastern Oklahoma State College,Oklahoma,OK,Public,2 Year,5777.0,4697,10474,8314,14091,,,,,,,3471.0
Eastern Oregon University,Oregon,OR,Public,4 Year,10040.0,8679,18719,20739,30779,23.0,Oregon,44000.0,73900.0,56.0,5.0,6565.0
Eastern Shore Community College,Virginia,VA,Public,2 Year,,4800,4800,10728,10728,,,,,,,1765.0
Eastern University,Pennsylvania,PA,Private,4 Year,11254.0,33122,44376,33122,44376,,,,,,,7901.0
Eastern Washington University,Washington,WA,Public,4 Year,12793.0,7323,20116,24444,37237,20.0,Washington,49500.0,87500.0,52.0,17.0,24342.0
Eastern West Virginia Community and Technical College,West Virginia,WV,Public,2 Year,,5160,5160,8651,8651,,,,,,,1615.0
Eastern Wyoming College,Wyoming,WY,Public,2 Year,6320.0,3096,9416,7608,13928,,,,,,,2855.0
Eastfield College,Texas,TX,Public,2 Year,,1770,1770,5220,5220,,,,,,,35166.0
Eastman School of Music of the University of Rochester,New York,NY,Private,4 Year,15862.0,54584,70446,54584,70446,,,,,,,
Ecclesia College,Arkansas,AR,Private,4 Year,5810.0,15140,20950,15140,20950,,,,,,,267.0
Eckerd College,Florida,FL,Private,4 Year,12588.0,44540,57128,44540,57128,17.0,Florida,49200.0,88400.0,52.0,25.0,3746.0
ECPI University,Virginia,VA,For Profit,4 Year,,16764,16764,16764,16764,,,,,,,
Edgecombe Community College,North Carolina,NC,Public,2 Year,,2757,2757,8901,8901,,,,,,,6154.0
